dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_bin,hum_bin,wind_bin,is_weekend
2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,"(0.216, 0.314]","(0.8, 0.9]","(-0.000851, 0.0851]",1
2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,"(0.216, 0.314]","(0.7, 0.8]","(-0.000851, 0.0851]",1
2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,"(0.216, 0.314]","(0.7, 0.8]","(-0.000851, 0.0851]",1
2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,"(0.216, 0.314]","(0.7, 0.8]","(-0.000851, 0.0851]",1
2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,"(0.216, 0.314]","(0.7, 0.8]","(-0.000851, 0.0851]",1
2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,"(0.216, 0.314]","(0.7, 0.8]","(0.0851, 0.17]",1
2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,"(0.216, 0.314]","(0.7, 0.8]","(-0.000851, 0.0851]",1
2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,"(0.118, 0.216]","(0.8, 0.9]","(-0.000851, 0.0851]",1
2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,"(0.216, 0.314]","(0.7, 0.8]","(-0.000851, 0.0851]",1
2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,"(0.314, 0.412]","(0.7, 0.8]","(-0.000851, 0.0851]",1
2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,"(0.314, 0.412]","(0.7, 0.8]","(0.17, 0.255]",1
2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,"(0.314, 0.412]","(0.8, 0.9]","(0.255, 0.34]",1
